,Price,AskP0,AskPriceV5,AskV0,BidP0,BidPriceV5,BidV0,isadd3,isadd_ori,MedianBid,CountBid,MedianAsk,CountAsk,HighPrice,LowPrice,AskP0_delta,BidP0_delta,AskPriceV5_delte,BidPriceV5_delte
238,703.95,704.01,704.01,600,704,703.95,100,2,1,704,3,703.96,7,704,703.88,0,0,0.76,-0.07
239,703.95,704.01,704.77,100,704,703.88,100,2,2,704.01,3,703.98,4,704.01,703.95,0,-0.05,-0.22,0
240,704,704.01,704.55,100,703.95,703.88,200,2,2,704,0,704,1,704,704,0.54,0.07,0,0.05
241,704.02,704.55,704.55,1300,704.02,703.93,100,0,0,704.01,1,704.02,1,704.02,704.01,0,-0.07,0,0
242,704,704.55,704.55,1400,703.95,703.93,200,0,2,704,0,704.015,4,704.02,704,0,0.17,0,0
243,704.55,704.55,704.55,1300,704.12,703.93,100,0,0,704.55,1,704.55,0,704.55,704.55,-0.53,-0.11,0,0.08
244,704.12,704.02,704.55,100,704.01,704.01,800,1,0,704.55,1,704.12,1,704.55,704.12,0,0,0,0
245,704.02,704.02,704.55,100,704.01,704.01,700,2,2,704.02,2,704.01,1,704.02,704.01,0.1,0.01,0,0
246,704.12,704.12,704.55,100,704.02,704.01,100,2,0,704.07,2,704.12,0,704.12,704.02,0,0.03,0,0.04
247,704.01,704.12,704.55,100,704.05,704.05,1400,2,2,704.01,0,704.01,5,704.1,704.01,0.43,0.15,0,0.15
248,704.54,704.55,704.55,800,704.2,704.2,900,1,0,704.33,2,704.05,1,704.54,704.05,-0.35,-0.08,-0.35,-0.15
249,704.2,704.2,704.2,500,704.12,704.05,300,1,1,704.2,0,704.2,3,704.2,704.2,0,0,0,0
250,704.2,704.2,704.2,1200,704.12,704.05,200,1,1,704.2,1,704.12,1,704.2,704.12,0,-0.07,0,-0.04
251,704.2,704.2,704.2,1100,704.05,704.01,300,0,1,704.2,2,704.12,3,704.2,704.05,0,0.12,0,0.04
252,704.2,704.2,704.2,1000,704.17,704.05,200,0,0,704.2,1,704.2,0,704.2,704.2,-0.08,-0.16,0,-0.04
253,704.12,704.12,704.2,100,704.01,704.01,500,0,0,704.12,2,704.115,4,704.17,704.05,0.08,-0.01,0,-0.08
254,704,704.2,704.2,1000,704,703.93,100,0,1,704.2,3,704.005,4,704.2,704,-0.2,-0.05,-0.2,0
255,704,704,704,1300,703.95,703.93,200,1,1,704.2,6,704,1,704.2,704,0,0,0,0
256,704,704,704,2900,703.95,703.93,200,0,1,704,3,704,0,704,704,0,0,0,0
257,704,704,704,3000,703.95,703.93,200,0,1,704,0,704,0,704,704,0,-0.02,0,0
258,704,704,704,3000,703.93,703.93,600,0,0,704,5,703.93,3,704,703.93,-0.1,-0.05,-0.02,-0.07
259,703.9,703.9,703.98,400,703.88,703.86,100,0,0,703.98,3,703.93,6,704,703.9,-0.02,-0.01,-0.1,-0.06
260,703.88,703.88,703.88,1400,703.87,703.8,300,0,0,703.88,3,703.88,1,703.88,703.88,-0.08,-0.18,-0.01,-0.11
261,703.69,703.8,703.87,300,703.69,703.69,800,0,1,703.87,1,703.8,12,703.87,703.69,-0.11,-0.19,-0.18,-0.36
262,703.69,703.69,703.69,2500,703.5,703.33,400,0,0,703.8,1,703.69,4,703.8,703.69,-0.19,-0.17,-0.19,-0.22
263,703.5,703.5,703.5,1200,703.33,703.11,200,0,0,703.5,2,703.5,3,703.5,703.5,-0.17,-0.18,-0.17,0
264,703.33,703.33,703.33,2100,703.15,703.11,100,0,0,703.33,1,703.33,3,703.55,703.33,-0.18,-0.04,-0.18,0
265,703.15,703.15,703.15,1300,703.11,703.11,800,0,0,703.15,3,703.13,2,703.15,703.11,-0.14,-0.11,-0.14,-0.11
266,703.01,703.01,703.01,900,703,703,500,0,1,703.01,1,703,19,703.11,703,-0.01,-0.22,0,-0.34
267,703.01,703,703.01,400,702.78,702.66,200,0,0,703,3,703,6,703.01,702.8,0,-0.19,-0.01,-0.08
268,703,703,703,2200,702.59,702.58,200,0,0,702.78,4,702.685,6,703,702.6,-0.4,-0.01,-0.22,0
269,702.58,702.6,702.78,100,702.58,702.58,1600,0,2,702.6,1,702.585,4,702.6,702.58,0,0,0.22,-0.07
270,703,702.6,703,200,702.58,702.51,200,0,0,702.78,4,702.58,3,703,702.58,-0.02,-0.07,0,0
